COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
279;1;SAO PAULO;0;14;0;950;0;0;0;0;0;
346;1;SAO PAULO;0;0;0;651;0;0;0;0;0;
565;1;SAO PAULO;0;16;0;521;0;0;0;0;0;
644;1;SAO PAULO;0;0;0;295;0;0;0;0;0;
36444;1;SAO PAULO;0;0;0;722;458;364;0;0;0;
36456;1;SAO PAULO;0;0;0;0;408;412;0;0;0;
46243;1;SAO PAULO;0;0;0;419;471;603;0;0;0;
924751;1;SAO PAULO;0;0;0;0;733;0;0;0;679;
924763;1;SAO PAULO;0;0;0;0;79;570;0;0;201;
383;1;SAO PAULO;0;2;0;0;556;572;0;0;0;
656;1;SAO PAULO;0;0;0;0;269;0;0;0;0;
681;1;SAO PAULO;0;15;0;380;271;0;0;0;0;
711;1;SAO PAULO;0;0;0;0;206;146;0;0;47;
3670;1;SAO PAULO;0;0;0;0;590;687;0;0;109;
3712;1;SAO PAULO;0;0;0;480;584;0;0;0;0;
70981;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
431874;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
863;1;SAO PAULO;0;11;0;517;0;0;0;0;0;
1065;1;SAO PAULO;0;10;0;726;0;0;0;0;0;
1168;1;SAO PAULO;0;2;0;0;337;694;0;0;0;
37771;1;SAO PAULO;0;18;0;390;0;0;0;0;0;
906141;1;SAO PAULO;0;0;0;495;290;145;0;0;0;
916729;1;SAO PAULO;0;20;0;0;562;544;0;0;149;
918748;1;SAO PAULO;0;0;0;714;0;0;0;0;0;
985016;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2112;1;SAO PAULO;0;0;0;0;685;0;0;0;37;
2318;1;SAO PAULO;0;0;0;0;782;886;0;0;0;
24;1;SAO PAULO;0;0;0;438;508;1020;0;0;427;
73;1;SAO PAULO;0;0;0;379;0;0;0;0;0;
85;1;SAO PAULO;0;11;0;585;0;0;0;0;0;
176;1;SAO PAULO;0;77;0;0;373;330;0;0;0;
267;1;SAO PAULO;0;0;0;0;379;830;0;0;0;
361;1;SAO PAULO;0;14;0;591;0;0;0;0;0;
553;1;SAO PAULO;0;0;0;0;702;469;0;0;0;
48598;1;SAO PAULO;0;7;0;511;0;0;0;0;0;
130321;1;SAO PAULO;0;0;0;280;320;270;0;0;0;
559210;1;SAO PAULO;0;0;0;90;66;32;17;15;0;
901672;1;SAO PAULO;0;0;0;422;0;0;0;0;0;
923624;1;SAO PAULO;0;26;0;0;466;386;0;0;78;
498;1;SAO PAULO;0;0;0;0;237;446;0;0;0;
784;1;SAO PAULO;0;0;0;207;187;0;0;0;0;
899;1;SAO PAULO;0;3;0;311;0;0;0;0;0;
917;1;SAO PAULO;0;6;0;0;232;310;0;0;69;
1454;1;SAO PAULO;0;0;0;0;428;339;0;0;0;
3414;1;SAO PAULO;0;0;0;791;0;0;0;0;0;
3621;1;SAO PAULO;0;14;0;1186;0;0;0;0;0;
37746;1;SAO PAULO;0;0;0;469;0;0;0;0;0;
37758;1;SAO PAULO;0;2;0;497;0;0;0;0;0;
1284;1;SAO PAULO;0;9;0;0;326;464;0;0;0;
48616;1;SAO PAULO;0;37;0;0;588;473;0;0;0;
904272;1;SAO PAULO;0;10;0;324;0;0;0;0;0;
911537;1;SAO PAULO;0;36;0;355;246;135;0;0;44;
913820;1;SAO PAULO;0;14;0;0;0;340;0;0;0;
673;1;SAO PAULO;0;0;0;0;703;834;0;0;0;
97;1;SAO PAULO;0;0;0;0;0;862;0;0;92;
36500;1;SAO PAULO;0;0;0;428;0;0;0;0;0;
37102;1;SAO PAULO;0;0;0;0;0;455;0;0;127;
40460;1;SAO PAULO;0;0;0;444;0;0;0;0;0;
414612;1;SAO PAULO;0;0;0;853;0;0;0;0;0;
457243;1;SAO PAULO;0;0;0;511;612;0;0;0;303;
910296;1;SAO PAULO;0;0;0;833;0;0;0;0;0;
358;1;SAO PAULO;0;5;0;274;296;0;0;0;0;
760;1;SAO PAULO;0;0;0;0;142;418;0;0;0;
1521;1;SAO PAULO;0;0;0;440;356;72;0;0;0;
454382;1;SAO PAULO;0;0;0;0;0;0;30;42;32;
607;1;SAO PAULO;0;0;0;0;570;844;0;0;230;
772;1;SAO PAULO;0;8;0;622;0;0;0;0;0;
1181;1;SAO PAULO;0;28;0;734;0;0;0;0;0;
1223;1;SAO PAULO;0;0;0;403;0;0;0;0;0;
1235;1;SAO PAULO;0;0;0;0;257;369;0;0;119;
37382;1;SAO PAULO;0;16;0;544;481;709;0;0;0;
700;1;SAO PAULO;0;0;0;856;0;0;0;0;0;
1491;1;SAO PAULO;0;12;0;0;328;0;0;0;0;
1703;1;SAO PAULO;0;0;0;0;0;1669;0;0;52;
1910;1;SAO PAULO;0;0;0;0;113;96;0;0;0;
2161;1;SAO PAULO;0;0;0;0;283;314;0;0;0;
2197;1;SAO PAULO;0;0;0;0;497;590;0;0;0;
2297;1;SAO PAULO;0;0;0;0;247;570;0;0;218;
36973;1;SAO PAULO;0;0;0;0;226;288;0;0;0;
39100;1;SAO PAULO;0;0;0;423;0;0;0;0;0;
2410;1;SAO PAULO;0;15;0;615;0;0;0;0;0;
12;1;SAO PAULO;0;0;0;0;549;0;0;0;0;
103;1;SAO PAULO;0;0;0;943;0;0;0;0;0;
255;1;SAO PAULO;0;0;0;0;225;142;0;0;0;
72503;1;SAO PAULO;0;0;0;0;413;194;0;0;0;
269359;1;SAO PAULO;0;0;0;0;281;344;0;0;57;
290543;1;SAO PAULO;0;0;0;330;321;427;0;0;92;
904260;1;SAO PAULO;0;0;0;427;0;0;0;0;0;
924386;1;SAO PAULO;0;0;0;580;0;0;0;0;0;
559337;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
504;1;SAO PAULO;0;24;0;812;0;0;0;0;0;
1363;1;SAO PAULO;0;0;0;0;0;245;0;0;0;
1570;1;SAO PAULO;0;17;0;442;555;383;0;0;0;
3852;1;SAO PAULO;0;0;0;0;291;334;0;0;42;
1041;1;SAO PAULO;0;0;0;0;271;192;0;0;0;
1259;1;SAO PAULO;0;0;0;0;270;148;0;0;0;
796;1;SAO PAULO;0;0;0;0;392;678;0;0;148;
1880;1;SAO PAULO;0;0;0;0;553;1000;0;0;216;
2045;1;SAO PAULO;0;15;0;358;0;0;0;0;0;
2100;1;SAO PAULO;0;0;0;529;0;0;0;0;0;
2173;1;SAO PAULO;0;0;0;0;593;638;0;0;0;
414281;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2562;1;SAO PAULO;0;0;0;0;387;0;0;0;0;
2773;1;SAO PAULO;0;0;0;0;722;712;0;0;0;
3220;1;SAO PAULO;0;0;0;0;803;1063;0;0;0;
39366;1;SAO PAULO;0;0;0;0;418;457;0;0;0;
909038;1;SAO PAULO;0;0;0;545;0;0;0;0;0;
915671;1;SAO PAULO;0;0;0;0;417;548;0;0;64;
188;1;SAO PAULO;0;0;0;0;431;475;0;0;0;
395;1;SAO PAULO;0;0;0;0;266;509;0;0;216;
401;1;SAO PAULO;0;0;0;0;434;699;0;0;0;
413;1;SAO PAULO;0;0;0;0;292;162;0;0;0;
37667;1;SAO PAULO;0;0;0;522;0;0;0;0;0;
37679;1;SAO PAULO;0;0;0;0;458;382;0;0;0;
39342;1;SAO PAULO;0;0;0;209;77;79;0;0;0;
46255;1;SAO PAULO;0;0;0;735;0;0;0;0;166;
923618;1;SAO PAULO;0;0;0;1010;0;0;0;0;0;
3499;1;SAO PAULO;0;0;0;0;0;370;0;0;0;
3566;1;SAO PAULO;0;0;0;0;135;113;0;0;0;
735;1;SAO PAULO;0;14;0;0;330;818;0;0;265;
1077;1;SAO PAULO;0;8;0;998;0;0;0;0;0;
1326;1;SAO PAULO;0;23;0;0;419;359;0;0;103;
1338;1;SAO PAULO;0;28;0;638;0;0;0;0;0;
46036;1;SAO PAULO;0;3;0;286;0;0;0;0;0;
915658;1;SAO PAULO;0;13;0;337;361;0;0;0;0;
747;1;SAO PAULO;0;0;0;0;334;534;0;0;0;
1582;1;SAO PAULO;0;12;0;810;0;0;0;0;0;
1867;1;SAO PAULO;0;0;0;330;304;448;0;0;0;
1934;1;SAO PAULO;0;0;0;0;298;340;0;0;0;
2136;1;SAO PAULO;0;7;0;0;273;188;0;0;0;
2227;1;SAO PAULO;0;0;0;0;402;0;0;0;30;
4450;1;SAO PAULO;0;0;0;0;0;0;9;9;13;
4451;1;SAO PAULO;0;0;0;0;0;0;10;34;21;
3190;1;SAO PAULO;0;0;0;571;0;0;0;0;0;
197;1;SAO PAULO;0;0;0;0;229;411;0;0;173;
218;1;SAO PAULO;0;0;0;0;0;838;0;0;0;
36959;1;SAO PAULO;0;0;0;0;463;1058;0;0;128;
130333;1;SAO PAULO;0;0;0;0;200;367;0;0;0;
463061;1;SAO PAULO;0;0;0;0;0;392;0;0;0;
923606;1;SAO PAULO;0;0;0;835;0;0;0;0;0;
942;1;SAO PAULO;0;0;0;0;0;429;0;0;0;
966;1;SAO PAULO;0;0;0;0;134;295;0;0;0;
3426;1;SAO PAULO;0;0;0;0;405;306;0;0;0;
918994;1;SAO PAULO;0;0;0;316;0;0;0;0;0;
559672;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
1200;1;SAO PAULO;0;19;0;941;0;0;0;0;0;
36821;1;SAO PAULO;0;13;0;0;177;703;0;0;0;
269372;1;SAO PAULO;0;19;0;836;0;0;0;0;0;
1387;1;SAO PAULO;0;0;0;297;0;0;0;0;0;
1922;1;SAO PAULO;0;0;0;384;0;0;0;0;0;
2094;1;SAO PAULO;0;0;0;351;0;0;0;0;0;
46048;1;SAO PAULO;0;0;0;332;0;0;0;0;0;
2446;1;SAO PAULO;0;0;0;613;0;0;0;0;0;
2781;1;SAO PAULO;0;19;0;761;0;0;0;0;0;
902248;1;SAO PAULO;0;0;0;573;0;0;0;0;0;
910797;1;SAO PAULO;0;0;0;678;0;482;0;0;0;
910843;1;SAO PAULO;0;0;0;0;649;0;0;0;0;
915683;1;SAO PAULO;0;0;0;0;401;450;0;0;0;
3153;1;SAO PAULO;0;0;0;0;369;178;0;0;0;
908997;1;SAO PAULO;0;10;0;462;0;0;0;0;0;
914812;1;SAO PAULO;0;30;0;634;0;0;0;0;0;
139;1;SAO PAULO;0;0;0;0;332;1053;0;0;258;
41683;1;SAO PAULO;0;0;0;651;0;0;0;0;0;
923254;1;SAO PAULO;0;0;0;0;803;1070;0;0;101;
924398;1;SAO PAULO;0;0;0;370;0;282;0;0;0;
309;1;SAO PAULO;0;0;0;23;193;215;0;0;0;
437;1;SAO PAULO;0;10;0;604;0;0;0;0;0;
536;1;SAO PAULO;0;0;0;0;394;566;0;0;227;
577;1;SAO PAULO;0;0;0;0;285;0;0;0;0;
848;1;SAO PAULO;0;0;0;0;562;756;0;0;62;
929;1;SAO PAULO;0;0;0;0;0;779;0;0;0;
454734;1;SAO PAULO;0;0;0;0;0;0;7;32;20;
371;1;SAO PAULO;0;0;0;0;360;1227;0;0;0;
1211;1;SAO PAULO;0;7;0;310;0;0;0;0;0;
37783;1;SAO PAULO;0;0;0;0;449;665;0;0;332;
48604;1;SAO PAULO;0;19;0;512;335;0;0;0;0;
579476;1;SAO PAULO;0;0;0;194;0;0;0;0;0;
906797;1;SAO PAULO;0;30;0;380;0;0;0;0;0;
1971;1;SAO PAULO;0;14;0;0;435;1238;0;0;0;
2008;1;SAO PAULO;0;0;0;0;0;697;0;0;0;
2252;1;SAO PAULO;0;0;0;0;0;1381;0;0;0;
428875;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2835;1;SAO PAULO;0;0;0;0;396;352;0;0;158;
3116;1;SAO PAULO;0;0;0;0;579;511;0;0;0;
36778;1;SAO PAULO;0;0;0;808;0;0;0;0;0;
37345;1;SAO PAULO;0;0;0;0;400;427;0;0;0;
902573;1;SAO PAULO;0;0;0;0;420;585;0;0;0;
910855;1;SAO PAULO;0;0;0;568;0;0;0;0;0;
127;1;SAO PAULO;0;8;0;711;0;0;0;0;0;
450;1;SAO PAULO;0;14;0;0;487;711;0;0;88;
904247;1;SAO PAULO;0;0;0;0;0;704;0;0;0;
904259;1;SAO PAULO;0;0;0;300;331;481;0;0;0;
462;1;SAO PAULO;0;0;0;0;272;205;0;0;0;
3475;1;SAO PAULO;0;0;0;0;287;0;0;0;0;
483485;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
1144;1;SAO PAULO;0;0;0;0;489;676;0;0;0;
1193;1;SAO PAULO;0;9;0;446;360;271;0;0;0;
37795;1;SAO PAULO;0;0;0;0;592;398;0;0;103;
759;1;SAO PAULO;0;28;0;705;0;0;0;0;0;
1740;1;SAO PAULO;0;0;0;0;250;110;0;0;0;
39214;1;SAO PAULO;0;0;0;699;0;0;0;0;0;
908940;1;SAO PAULO;0;0;0;706;0;0;0;0;0;
414323;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
985041;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2707;1;SAO PAULO;0;0;0;0;790;725;0;0;48;
2847;1;SAO PAULO;0;0;0;0;465;1032;0;0;0;
3293;1;SAO PAULO;0;0;0;603;0;0;0;0;0;
40320;1;SAO PAULO;0;0;0;858;0;0;0;0;0;
902585;1;SAO PAULO;0;0;0;491;0;0;0;0;0;
909048;1;SAO PAULO;0;0;0;623;0;0;0;0;0;
924374;1;SAO PAULO;0;0;0;595;448;384;0;0;0;
985065;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2367;1;SAO PAULO;0;0;0;492;0;0;0;0;0;
2549;1;SAO PAULO;0;0;0;0;318;184;0;0;0;
619;1;SAO PAULO;0;15;0;464;0;0;0;0;0;
37643;1;SAO PAULO;0;0;0;0;371;0;0;0;0;
37709;1;SAO PAULO;0;0;0;0;379;463;0;0;165;
44261;1;SAO PAULO;0;0;0;214;125;180;0;0;0;
901684;1;SAO PAULO;0;20;0;0;409;1423;0;0;0;
924748;1;SAO PAULO;0;0;0;0;566;0;0;0;0;
930;1;SAO PAULO;0;0;0;0;230;79;0;0;0;
875;1;SAO PAULO;0;0;0;0;368;333;0;0;0;
1004;1;SAO PAULO;0;0;0;0;300;236;0;0;0;
1016;1;SAO PAULO;0;30;0;0;479;1486;0;0;0;
1247;1;SAO PAULO;0;0;0;0;289;388;0;0;0;
1351;1;SAO PAULO;0;0;0;662;0;0;0;0;0;
37761;1;SAO PAULO;0;10;0;514;0;0;0;0;0;
269360;1;SAO PAULO;0;12;0;1013;0;0;0;0;0;
915661;1;SAO PAULO;0;18;0;385;390;0;0;0;0;
838;1;SAO PAULO;0;0;0;0;375;478;0;0;200;
1776;1;SAO PAULO;0;0;0;257;262;170;0;0;0;
2124;1;SAO PAULO;0;0;0;324;0;0;0;0;0;
39111;1;SAO PAULO;0;0;0;343;0;0;0;0;0;
2380;1;SAO PAULO;0;11;0;888;0;0;0;0;0;
2525;1;SAO PAULO;0;0;0;0;399;368;0;0;223;
2550;1;SAO PAULO;0;0;0;0;0;441;0;0;0;
2872;1;SAO PAULO;0;0;0;664;0;0;0;0;0;
3086;1;SAO PAULO;0;0;0;0;533;559;0;0;0;
3207;1;SAO PAULO;0;0;0;514;0;0;0;0;0;
46310;1;SAO PAULO;0;0;0;479;644;0;0;0;0;
906955;1;SAO PAULO;0;8;0;651;0;0;0;0;0;
164;1;SAO PAULO;0;15;0;0;244;336;0;0;114;
206;1;SAO PAULO;0;23;0;568;0;0;0;0;0;
632;1;SAO PAULO;0;0;0;381;0;0;0;0;0;
37680;1;SAO PAULO;0;0;0;884;0;0;0;0;0;
516;1;SAO PAULO;0;0;0;497;0;0;0;0;0;
541;1;SAO PAULO;0;12;0;709;0;0;0;0;0;
668;1;SAO PAULO;0;0;0;0;312;208;0;0;0;
723;1;SAO PAULO;0;0;0;0;147;218;0;0;0;
1120;1;SAO PAULO;0;0;0;661;0;0;0;0;0;
3448;1;SAO PAULO;0;5;0;332;0;0;0;0;0;
3505;1;SAO PAULO;0;12;0;744;0;0;0;0;0;
559696;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
985107;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
1132;1;SAO PAULO;0;0;0;0;340;513;0;0;0;
1806;1;SAO PAULO;0;27;0;262;0;0;0;0;0;
2012;1;SAO PAULO;0;1;0;512;0;0;0;0;0;
37370;1;SAO PAULO;0;0;0;0;499;423;0;0;0;
2392;1;SAO PAULO;0;9;0;569;0;0;0;0;0;
2665;1;SAO PAULO;0;28;0;634;0;0;0;0;0;
2732;1;SAO PAULO;0;0;0;0;284;149;0;0;0;
2793;1;SAO PAULO;0;7;0;0;509;0;0;0;0;
36808;1;SAO PAULO;0;0;0;314;0;0;0;0;0;
904624;1;SAO PAULO;0;0;0;260;147;276;0;0;0;
924258;1;SAO PAULO;0;0;0;320;254;158;0;0;0;
1752;1;SAO PAULO;0;0;0;0;568;1452;0;0;274;
2343;1;SAO PAULO;0;18;0;385;321;0;0;0;0;
3104;1;SAO PAULO;0;0;0;0;641;1091;0;0;108;
59;1;SAO PAULO;0;0;0;0;0;1285;0;0;0;
115;1;SAO PAULO;0;0;0;806;0;0;0;0;0;
231;1;SAO PAULO;0;32;0;922;0;0;0;0;0;
243;1;SAO PAULO;0;28;0;442;0;0;0;0;0;
620;1;SAO PAULO;0;0;0;0;408;571;0;0;47;
46267;1;SAO PAULO;0;3;0;405;0;0;0;0;0;
463073;1;SAO PAULO;0;0;0;0;804;0;0;0;0;
907108;1;SAO PAULO;0;0;0;0;0;852;0;0;0;
922249;1;SAO PAULO;0;0;0;0;255;477;0;0;0;
924726;1;SAO PAULO;0;0;0;564;0;0;0;0;0;
559684;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
814;1;SAO PAULO;0;0;0;0;317;286;0;0;0;
1272;1;SAO PAULO;0;9;0;0;440;133;0;0;0;
37734;1;SAO PAULO;0;13;0;801;0;0;0;0;0;
906803;1;SAO PAULO;0;0;0;0;290;75;0;0;0;
1995;1;SAO PAULO;0;0;0;508;0;0;0;0;0;
2057;1;SAO PAULO;0;0;0;0;514;568;0;0;0;
2082;1;SAO PAULO;0;0;0;874;0;0;0;0;0;
2264;1;SAO PAULO;0;0;0;0;0;1792;0;0;138;
4374;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2422;1;SAO PAULO;0;0;0;0;0;1937;0;0;0;
2537;1;SAO PAULO;0;0;0;511;0;0;0;0;0;
2586;1;SAO PAULO;0;0;0;0;571;619;0;0;0;
2800;1;SAO PAULO;0;0;0;0;288;376;0;0;135;
40988;1;SAO PAULO;0;0;0;459;288;175;0;0;0;
925445;1;SAO PAULO;0;9;0;728;0;0;0;0;0;
2434;1;SAO PAULO;0;0;0;0;408;204;0;0;0;
2641;1;SAO PAULO;0;0;0;0;0;636;0;0;0;
3232;1;SAO PAULO;0;0;0;0;261;264;0;0;0;
46279;1;SAO PAULO;0;0;0;0;597;514;0;0;0;
48641;1;SAO PAULO;0;0;0;0;528;248;0;0;0;
902226;1;SAO PAULO;0;0;0;201;270;649;0;0;93;
909026;1;SAO PAULO;0;0;0;400;0;0;0;0;0;
909130;1;SAO PAULO;0;0;0;0;504;313;0;0;0;
914678;1;SAO PAULO;0;36;0;836;0;0;0;0;0;
36560;1;SAO PAULO;0;0;0;1124;0;0;0;0;0;
37357;1;SAO PAULO;0;26;0;619;501;345;0;0;0;
39135;1;SAO PAULO;0;0;0;436;0;0;0;0;0;
902603;1;SAO PAULO;0;0;0;860;0;0;0;0;445;
915695;1;SAO PAULO;0;0;0;467;0;0;0;0;0;
923285;1;SAO PAULO;0;0;0;406;324;465;0;0;0;
923540;1;SAO PAULO;0;0;0;479;0;0;0;0;0;
923990;1;SAO PAULO;0;0;0;0;424;207;0;0;0;
925202;1;SAO PAULO;0;0;0;574;0;0;0;0;0;
40472;1;SAO PAULO;0;0;0;562;0;0;0;0;0;
48707;1;SAO PAULO;0;0;0;213;0;0;0;0;0;
412173;1;SAO PAULO;0;0;0;0;325;379;0;0;0;
916766;1;SAO PAULO;0;0;0;500;0;0;0;0;0;
3657;1;SAO PAULO;0;13;0;0;130;335;0;0;0;
3931;1;SAO PAULO;0;0;0;0;342;335;0;0;0;
4112;1;SAO PAULO;0;9;0;526;0;0;0;0;0;
4121;1;SAO PAULO;0;0;0;0;533;813;0;0;0;
5236;1;SAO PAULO;0;0;0;511;465;0;0;0;0;
292;1;SAO PAULO;0;0;0;481;0;0;0;0;0;
474;1;SAO PAULO;0;8;0;426;0;0;0;0;0;
37710;1;SAO PAULO;0;0;0;0;0;357;0;0;0;
910995;1;SAO PAULO;0;0;0;0;0;559;0;0;0;
925500;1;SAO PAULO;0;0;0;287;137;653;0;0;0;
334;1;SAO PAULO;0;0;0;0;464;526;0;0;0;
449;1;SAO PAULO;0;0;0;440;0;0;0;0;0;
343161;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
985028;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
1173;1;SAO PAULO;0;16;0;0;421;1141;0;0;0;
1314;1;SAO PAULO;0;0;0;586;0;0;0;0;0;
48021;1;SAO PAULO;0;22;0;867;0;0;0;0;0;
925184;1;SAO PAULO;0;17;0;0;1066;516;0;0;0;
1430;1;SAO PAULO;0;0;0;550;0;0;0;0;0;
1485;1;SAO PAULO;0;6;0;298;0;0;0;0;0;
2159;1;SAO PAULO;0;10;0;0;76;202;0;0;0;
2240;1;SAO PAULO;0;0;0;0;506;0;0;0;0;
2288;1;SAO PAULO;0;26;0;428;0;0;0;0;0;
428863;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
48689;1;SAO PAULO;0;0;0;0;682;533;0;0;0;
902822;1;SAO PAULO;0;0;0;609;0;0;0;0;0;
911008;1;SAO PAULO;0;0;0;0;424;455;0;0;0;
1818;1;SAO PAULO;0;12;0;691;0;0;0;0;0;
2355;1;SAO PAULO;0;0;0;281;69;0;0;0;0;
2677;1;SAO PAULO;0;0;0;0;218;493;0;0;75;
44283;1;SAO PAULO;0;0;0;0;103;283;0;0;0;
902639;1;SAO PAULO;0;0;0;515;595;580;0;0;0;
140;1;SAO PAULO;0;0;0;0;189;216;0;0;0;
152;1;SAO PAULO;0;0;0;271;0;0;0;0;0;
46218;1;SAO PAULO;0;12;0;232;221;0;0;0;0;
922092;1;SAO PAULO;0;0;0;515;0;0;0;0;0;
924738;1;SAO PAULO;0;0;0;0;247;69;0;0;0;
322;1;SAO PAULO;0;23;0;0;318;316;0;0;0;
978;1;SAO PAULO;0;0;0;0;279;309;0;0;0;
3633;1;SAO PAULO;0;0;0;394;0;0;0;0;0;
298633;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
905;1;SAO PAULO;0;24;0;0;265;136;0;0;0;
1028;1;SAO PAULO;0;15;0;0;335;680;0;0;0;
1089;1;SAO PAULO;0;11;0;306;342;0;0;0;0;
1119;1;SAO PAULO;0;6;0;663;0;0;0;0;0;
1156;1;SAO PAULO;0;0;0;0;535;598;0;0;314;
802;1;SAO PAULO;0;0;0;0;226;188;0;0;0;
1375;1;SAO PAULO;0;45;0;0;30;137;0;0;0;
1466;1;SAO PAULO;0;0;0;0;426;471;0;0;0;
1600;1;SAO PAULO;0;0;0;0;332;354;0;0;0;
1673;1;SAO PAULO;0;0;0;0;352;554;0;0;172;
1961;1;SAO PAULO;0;0;0;0;315;264;0;0;199;
2069;1;SAO PAULO;0;0;0;0;416;466;0;0;0;
458296;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2379;1;SAO PAULO;0;0;0;340;0;0;0;0;0;
2461;1;SAO PAULO;0;3;0;0;245;367;0;0;0;
2975;1;SAO PAULO;0;0;0;0;0;313;0;0;0;
2458;1;SAO PAULO;0;0;0;484;0;0;0;0;0;
3273;1;SAO PAULO;0;5;0;223;404;682;0;0;150;
851;1;SAO PAULO;0;16;0;500;0;0;0;0;0;
1697;1;SAO PAULO;0;0;0;577;558;0;0;0;0;
41695;1;SAO PAULO;0;0;0;545;527;0;0;0;0;
985685;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2574;1;SAO PAULO;0;0;0;0;734;0;0;0;0;
36997;1;SAO PAULO;0;0;0;539;0;0;0;0;0;
910788;1;SAO PAULO;0;0;0;0;270;466;0;0;0;
916493;1;SAO PAULO;0;0;0;0;300;321;0;0;108;
985053;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2653;1;SAO PAULO;0;0;0;0;239;327;0;0;0;
39354;1;SAO PAULO;0;0;0;866;0;0;0;0;0;
901702;1;SAO PAULO;0;0;0;0;572;445;0;0;0;
902809;1;SAO PAULO;0;0;0;414;286;385;0;0;129;
295985;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2859;1;SAO PAULO;0;0;0;644;709;661;0;0;0;
3001;1;SAO PAULO;0;0;0;0;166;186;0;0;0;
44349;1;SAO PAULO;0;0;0;0;0;465;0;0;0;
434292;1;SAO PAULO;0;0;0;628;0;0;0;0;0;
902858;1;SAO PAULO;0;0;0;0;315;0;0;0;0;
907157;1;SAO PAULO;0;12;0;0;548;849;0;0;0;
914708;1;SAO PAULO;0;0;0;0;481;859;0;0;0;
916500;1;SAO PAULO;0;19;0;699;0;0;0;0;0;
916754;1;SAO PAULO;0;0;0;514;261;291;0;0;56;
923539;1;SAO PAULO;0;0;0;0;322;0;0;0;0;
36812;1;SAO PAULO;0;0;0;0;322;499;0;0;0;
433482;1;SAO PAULO;0;0;0;393;284;326;0;0;0;
48;1;SAO PAULO;0;0;0;0;0;1121;0;0;0;
310;1;SAO PAULO;0;0;0;455;0;0;0;0;0;
590;1;SAO PAULO;0;34;0;597;0;0;0;0;0;
3451;1;SAO PAULO;0;0;0;0;567;340;0;0;81;
1090;1;SAO PAULO;0;12;0;910;0;0;0;0;0;
906153;1;SAO PAULO;0;24;0;1308;0;0;0;0;0;
458314;1;SAO PAULO;0;0;0;0;0;0;0;0;0;
2203;1;SAO PAULO;0;0;0;0;0;400;0;0;0;
2720;1;SAO PAULO;0;0;0;788;0;0;0;0;0;
2744;1;SAO PAULO;0;0;0;0;0;429;0;0;0;
2768;1;SAO PAULO;0;0;0;392;394;0;0;0;0;
2823;1;SAO PAULO;0;24;0;554;0;0;0;0;0;
2884;1;SAO PAULO;0;0;0;0;478;0;0;0;0;
2896;1;SAO PAULO;0;6;0;763;0;0;0;0;0;
925251;1;SAO PAULO;0;18;0;651;0;0;0;0;0;
2471;1;SAO PAULO;0;0;0;0;182;405;0;0;0;
2636;1;SAO PAULO;0;0;0;0;298;800;0;0;0;
2689;1;SAO PAULO;0;0;0;0;0;371;0;0;55;
902810;1;SAO PAULO;0;0;0;321;231;136;0;0;0;
906190;1;SAO PAULO;0;0;0;324;253;0;0;0;0;
909075;1;SAO PAULO;0;0;0;307;299;324;0;0;37;
3037;1;SAO PAULO;0;0;0;0;181;628;0;0;254;
36791;1;SAO PAULO;0;6;0;666;0;0;0;0;0;
46224;1;SAO PAULO;0;23;0;388;453;218;0;0;66;
283903;1;SAO PAULO;0;13;0;0;472;290;0;0;0;
3128;1;SAO PAULO;0;0;0;544;389;466;0;0;90;
44325;1;SAO PAULO;0;0;0;363;425;725;0;0;291;
3189;1;SAO PAULO;0;0;0;873;0;0;0;0;0;
37813;1;SAO PAULO;0;0;0;783;0;0;0;0;0;
41701;1;SAO PAULO;0;20;0;889;0;0;0;0;0;
901714;1;SAO PAULO;0;0;0;0;407;344;0;0;0;
924647;1;SAO PAULO;0;0;0;0;533;914;0;0;0;
2860;1;SAO PAULO;0;0;0;453;0;659;0;0;133;
2938;1;SAO PAULO;0;35;0;835;0;0;0;0;0;
